date,read,title
2020-10-14,7668,通过对合作企业的回访，我们发现：企业招聘时更看重员工这三种能力！
2020-10-21,14207,10月24日，蜗牛学院第五届程序员节正式开启！
2020-10-21,8369,报告：阿多比学员出关了！
2020-10-20,7884,揭秘：带你了解学员眼中真实的阿多比！
2020-10-12,8061,UI13期开班 | 因为放心，所以选择！
2020-10-14,7631,蜗牛出版之《自动化测试开发全程实战》书籍详解！
2020-10-14,7874,从会计转行Java开发，她的入职月薪15K！
2020-10-14,12227,核心实验：利用UISpy识别Windows界面元素
2020-10-21,9374,核心实验：利用UIAutomation库测试Windows应用（一）
2020-10-21,9368,培训期间，从未12点之前离开过教室的他入职了，月薪15K！
2020-08-25,2222,成都校区67期Java开发班全员就业，平均薪资8212元！
2020-06-10,2250,扩展知识：探索性测试（三）
2020-08-25,2508,核心实验：Selenium WebDriver->对象识别机制（二）
2020-08-18,2305,核心实验：Selenium WebDriver->对象识别机制（一）
2020-08-18,2613,17年初识蜗牛，19年来校培训，他的入职月薪15K！
2020-08-18,2179,即便成都倾盆大雨，这群小蜗牛们也准时到达了教室！​
2020-06-10,2346,一位在读小蜗牛的vlog，带你看看他们的日常！
2020-08-25,2490,蜗牛网校直播课即将开课，带你看看都有哪些福利吧！
2020-06-16,2260,你必须要知道UI色彩搭配原则！
2020-06-10,2082,16年毕业，从贸易行业转入Java开发，入职月薪10K​
2020-06-17,2235,扩展知识：强哥论项目管理（一）
2020-06-11,2106,妈呀！他们工资好高啊！！
2020-06-10,2084,PBET-7.0版课程详解之Web前端全栈开发！
2020-06-17,2036,PBET-7.0版课程详解之UI全链路设计！
2020-06-17,2109,从电商专业转入Web前端，这位应届生的入职年薪20W！
2020-06-22,2483,从UI设计角度解析“国货之光”花西子
2020-06-23,2007,西安校区23期软件测试班全员就业，平均薪资6.9K!
2020-06-30,1965,4小时兼职收入1.4K，阿多比学员做到了！
2020-06-23,2008,扩展知识：强哥论项目管理（二）
2020-06-24,2808,618全场五折，蜗牛网校的课程如何保障大家的学习效果？
2020-06-23,3182,蜗牛学院：PBET-7.0版课程详解之网络安全！
2020-06-30,1965,请查收 | 成功就业的UI学员来送祝福
2020-06-30,1958,中国有哪些好的UI团队？
2020-06-30,1956,开班啦！阿多比学院迎来学UI的新朋友啦
2020-07-02,1872,武汉校区就业001：从网络销售转行软件测试，他的入职月薪9K！
2020-08-11,2118,在蜗牛学院就只有熬夜肝代码？
2020-07-02,2348,项目管理十大TION法
2020-08-25,2656,除了培训和研发，我们还有一项90%的人都未曾关注到的业务！
2020-08-11,2138,终于来了，蜗牛网校直播课程今日正式上线！
2020-08-11,2234,20年应届生，毕业即入职，月薪7K！
2020-07-07,1970,从化工行业转入Java开发，他的入职月薪8K！
2020-07-07,2022,开班Vlog，带你看看蜗牛学院西安校区！
2020-07-07,2610,预备知识：GUI自动化测试核心技术（一）
2020-07-02,2008,蜗牛学院PBET-7.0课程体系，7月1日起正式实施！
2020-07-07,1999,蜗牛学院天府校区73期测试开发班，诞生了三位“测试主管”！
2020-07-10,2007,如何在4-5个月之内转行UI，成为万元户？
2020-07-08,3570,PBET-7.0课程详解之Python Web开发。（蜗牛网校）
2020-07-14,2130,预备知识：GUI自动化测试核心技术（二）
2020-07-13,1850,报考指南 | 想要从事UI设计 选这些专业就可以了
2020-07-14,2283,PBET-7.0课程详解之Python爬虫与数据分析。
2020-07-14,2075,蜗牛学院天府校区开新班，这次大家都有点狠！
2020-07-14,2500,蜗牛学员：薪资从6.5K到11K，他只花了4个月！​
2020-07-13,2037,学了PS就想当UI设计师？做什么美梦？
2020-07-16,2119,阿多比学员兼职一单4214元，你还觉得UI设计没“钱”途吗?
2020-07-16,2359,同样是设计海报，为什么有些人一张就值100W?
2020-07-28,2383,核心实验：基于图像识别的测试工具SikuliX
2020-07-28,2207,蜗牛网校：PBET-7.0课程详解之Python人工智能
2020-07-27,2195,那个自学UI设计的女孩怎么样了？
2020-09-09,1932,马特里卡特邀合作企业“启明星辰”技术经理来校给学员做网络安全分享！
2020-09-09,2676,核心实验：Selenium WebDriver->鼠标与键盘操作
2020-07-28,1992,工作9年后转行软件测试，他的入职月薪9K！
2020-07-27,2133,做UI设计的你 这篇文章一定要收藏！
2020-09-09,2099,蜗牛出版之《JavaEE企业级框架开发实战教程》书籍详解！
2020-09-14,2005,花2万参加IT培训，到底值不值？
2020-09-09,2086,一位年轻妈妈转行Web前端，她的入职月薪9.4K！
2020-09-09,1890,零基础选择IT培训靠谱吗，能否通过IT培训机构的学习找到工作？
2020-07-28,2169,你猜：蜗牛学院哪个校区的学员最能熬夜！
2020-09-15,2010,送你一份选择软件测试培训机构的最强攻略！
2020-09-16,2299,蜗牛出版之《Python爬虫开发实战教程》书籍详解！
2020-09-16,2473,核心实验：Selenium WebDriver->其他应用（一）
2020-09-16,2050,与IT培训机构签订合同时，你一定要注意这些细节，不然会被坑惨！
2020-07-28,2545,福利待查收｜ 留言瓜分蜗牛学院2W+大礼！
2020-07-28,2117,好嗨 | 阿多比的学员个个身怀绝技！！
2020-08-03,2776,如何进入互联网大厂？？？
2020-08-04,2301,蜗牛网校，PBET-7.0课程详解之C/C++物联网
2020-08-03,1946,阿多比设计学院告诉你：XX岁转行UI设计晚不晚？看看《三十而已》就知道了
2020-08-03,2772,那些关于培训班的刻板印象！阿多比全部都打破！！
2020-08-11,3432,核心实验：Selenium WebDriver->基础使用
2020-08-04,2836,蜗牛学院“拍了拍”你，武汉校区首期测试班平均就业薪资8792元！
2020-08-04,3148,核心实验：利用Python调用SikuliX接口
2020-08-31,2136,如何选择Java开发的IT培训机构？
2020-08-27,2703,IT培训机构每年“生产”数十万程序员，市场缺口为何还很大？
2020-09-01,2527,通过IT培训机构入行的人越来越多，程序员工资为啥却不降反升？
2020-09-03,2530,企业到校招聘，众多合作伙伴也纷纷要人，蜗牛学员，就是给力！！！
2020-09-03,2527,17年毕业，20年转行测试，她的入职月薪9K！
2020-09-03,2576,蜗牛出版之《接口自动化测试开发实战教程》书籍详解！
2020-09-03,3822,核心实验：Selenium WebDriver->窗口切换
2020-09-03,2799,IT培训机构水有多深，你可知道？
2020-09-03,3145,贺：蜗牛学院成功中标中原银行Java内训项目！
2020-09-16,1962,西安校区28期Java班全员就业，平均薪资7550元！
2020-09-07,2289,软件测试是不是比Java开发的要求更低一些？
2020-09-16,2096,本周蜗牛学院四校区开班，致敬每一位勇敢改变的人！
2020-09-17,1992,参加IT培训机构的学习，大家一定要注意这五点！
2020-09-22,2295,核心实验：Selenium WebDriver->其他应用（二）
2020-09-22,1983,蜗牛网校Python测试开发直播课，开课啦！
2020-09-23,2079,老铁，请你别再按照这样的SB逻辑去选择IT培训机构了！
2020-09-22,2207,培训出来的程序员工资是真高，还是IT培训机构的宣传手段？
2020-09-22,2115,武汉校区两大学霸就业创新高，入职月薪均为18000！
2020-09-22,2510,蜗牛出版之《Web前端开发实战教程》书籍详解！
2020-09-25,2294,2020年若要转行IT，我建你首选Web前端，原因如下
